up_id,dn_id,region,facc_up,facc_dn,facc_drop,drop_pct,wse_up,wse_dn,river_name,severity
32100500105,32100500095,AS,8361090.2313,7185258.5981,1175831.6332,14.06313770898247,0.5,0.5,NODATA,Minor (10-25%)
32100500145,32100500135,AS,9381967.8165,7504708.6129,1877259.2036000006,20.009226638983755,1.600000023841858,1.600000023841858,NODATA,Minor (10-25%)
32100500385,32100500395,AS,408.0482,186.4081,221.64010000000002,54.3171370441041,1.5,1.200000047683716,NODATA,Major (50-90%)
31223000131,31223000121,AS,19569952.6111,13638471.877,5931480.734099999,30.309121600711936,9.700000286102295,9.700000286102295,Ob River,Moderate (25-50%)
35131000045,35131000635,AS,126825.9102,36306.369,90519.5412,71.37306647928162,1.5,1.5,NODATA,Major (50-90%)
35131000035,35131000475,AS,90519.5412,17512.4772,73007.06400000001,80.65337388166081,1.5,0.400000005960464,NODATA,Major (50-90%)
44105900065,44105900055,AS,6656.2455,2831.4605,3824.785,57.46159753272321,0.100000001490116,0.0,NODATA,Major (50-90%)
43430400101,43430400091,AS,6182.9923,2053.7147,4129.277599999999,66.78445321693187,6.400000095367432,7.0,Qingyi River,Major (50-90%)
43421001421,43421001311,AS,319.888427734375,167.2144,152.674027734375,47.727274417426116,10.800000190734863,10.600000381469727,NODATA,Moderate (25-50%)
43421000481,43421000471,AS,93040.538,78181.9118,14858.626199999999,15.97005619206544,10.90000057220459,10.90000057220459,Former Yellow River,Minor (10-25%)
81390800011,81390800161,NA,4970.896484375,4080.5867,890.3097843750002,17.910447082805035,109.4000015258789,85.0,Canning River,Minor (10-25%)
44590001575,44590001885,AS,90.0686,45.0343,45.0343,50.0,2.799999952316284,2.299999952316284,NODATA,Moderate (25-50%)
45590000575,45590000565,AS,84.8673,40.1833,44.684,52.651610219719494,0.0,0.0,NODATA,Major (50-90%)
34100004605,34100004595,AS,106435320.333,79179295.2496,27256025.08340001,25.608064125823226,3.450000047683716,2.5,Lena River,Moderate (25-50%)
44590002285,44590001845,AS,4865.8147,3414.4436,1451.3710999999998,29.82791555954648,0.0,0.0,NODATA,Moderate (25-50%)
45318300115,45318300105,AS,34032.8425,13455.1256,20577.7169,60.46429092721244,10.199999809265137,9.300000190734863,Kharasrota,Major (50-90%)
64248400023,64248400011,SA,14723.349507250818,7361.6748,7361.674707250818,49.9999996850269,98.4000015258789,98.4000015258789,NODATA,Moderate (25-50%)
31241900181,31241900171,AS,6921777.0964,3582666.6015,3339110.4949000003,48.24065335239795,35.70000076293945,35.70000076293945,NODATA,Moderate (25-50%)
31361100091,31361100081,AS,310827.6251,261471.2536,49356.37150000001,15.879017022415878,4.099999904632568,3.600000143051147,Taz River,Minor (10-25%)
45630700061,45630700051,AS,631725.4796,560668.6215,71056.85809999995,11.248059543995629,80.70000457763672,78.9000015258789,Indus,Minor (10-25%)
43670700105,43670700085,AS,43382.2435,23405.8181,19976.425399999996,46.047469628904736,1.5,1.5,NODATA,Moderate (25-50%)
52150500053,52150500045,OC,606.6412353515625,248.1197,358.52153535156253,59.0994338101318,0.0,0.0,NODATA,Major (50-90%)
51150100085,51150300075,OC,2253.9643,1223.6222,1030.3421,45.71244096457073,1.300000071525574,1.300000071525574,NODATA,Moderate (25-50%)
23250300041,23250300031,EU,323.1215,198.616,124.50550000000001,38.532100154276336,1.700000047683716,0.300000011920929,NODATA,Moderate (25-50%)
81190900075,81190900255,NA,683134.1171,197851.8423,485282.2748,71.03762828594935,1.399999976158142,1.899999976158142,NODATA,Major (50-90%)
43306700621,43306701081,AS,14412.2739,2075.2083,12337.0656,85.601104208823,29.30000114440918,29.30000114440918,NODATA,Major (50-90%)
43445000053,43445000133,AS,85069.3134,26789.7838,58279.529599999994,68.5082872668395,12.100000381469727,11.90000057220459,Gan River,Major (50-90%)
43445000031,43445000191,AS,58279.5296,10261.407,48018.1226,82.39277655391372,9.600000381469727,9.5,Gan River,Major (50-90%)
43462000801,43462001211,AS,2517.3883,1678.2589,839.1294,33.333332009209705,22.30000114440918,22.30000114440918,Hanbei River,Moderate (25-50%)
43486000091,43486001501,AS,23455.8363,6478.8499,16976.986399999998,72.37851672762568,31.200000762939453,31.899999618530273,Li River,Major (50-90%)
43650000175,43650000665,AS,32378.3236,26901.6455,5476.678100000001,16.914643783472474,1.800000071525574,1.899999976158142,Liugang Waterway,Minor (10-25%)
43650000085,43650000735,AS,114976.7003,64527.4531,50449.2472,43.87780051816289,1.5,1.5,NODATA,Moderate (25-50%)
43662300531,43662300525,AS,10174.2414,4069.6966,6104.544800000001,59.999999606850295,1.600000023841858,1.899999976158142,NODATA,Major (50-90%)
43662300531,43662300541,AS,10174.2414,6104.5449,4069.696500000001,39.99999941027545,1.600000023841858,3.299999952316284,NODATA,Moderate (25-50%)
43670800035,43670800945,AS,8634.576,3036.3344,5598.241599999999,64.83516503879288,1.5,0.200000002980232,NODATA,Major (50-90%)
44570001255,44570004335,AS,5886.7155,1850.2367,4036.4788000000003,68.56928621741615,0.0,0.0,NODATA,Major (50-90%)
45100200045,45100200685,AS,13093.2202,949.3574,12143.862799999999,92.74924437610848,0.200000002980232,3.299999952316284,NODATA,Extreme (>90%)
45220200885,45220200925,AS,52090.2606,26846.5189,25243.741700000002,48.461538508793716,8.5,8.5,NODATA,Moderate (25-50%)
45230000095,45230000315,AS,4436688.578,1235902.6322,3200785.9458,72.14357937294918,0.100000001490116,0.100000001490116,Ganges,Major (50-90%)
45241100385,45241100405,AS,143951.9943,112333.967,31618.027299999987,21.964285700764332,8.300000190734863,8.300000190734863,NODATA,Minor (10-25%)
45242500031,45242500501,AS,96462.6635,4504.4606,91958.20289999999,95.33035846558393,39.79999923706055,42.0,Koshi River,Extreme (>90%)
45243500091,45243500531,AS,2447792.5361,1937813.8288,509978.7073000001,20.834229199527464,37.60000228881836,37.5,NODATA,Minor (10-25%)
45244500251,45244501141,AS,90283.6985,42373.1101,47910.5884,53.06670993324448,187.60000610351562,178.3000030517578,Budi Kulo,Major (50-90%)
45259600071,45259600341,AS,9117.5009765625,2306.6188,6810.8821765625,74.70119492249677,96.20000457763672,77.70000457763672,Kameng River,Major (50-90%)
45280500061,45280500571,AS,47992.0462,12754.6429,35237.4033,73.4234234421953,268.2250061035156,226.10000610351562,Lohit,Major (50-90%)
45311300245,45311301095,AS,520136.8918,31984.7022,488152.1896,93.85071455144956,0.0,0.75,Dangmari River,Extreme (>90%)
45311800025,45311800095,AS,1325.2153,660.4796,664.7357000000001,50.16058145419843,0.0,0.0,Ichamati,Major (50-90%)
45311900415,45311902005,AS,36.2855,4.2277,32.0578,88.3487894613551,0.0,0.0,NODATA,Major (50-90%)
45311902135,45311902035,AS,877.9799,394.1415,483.83840000000004,55.108140858349955,0.0,0.0,NODATA,Major (50-90%)
45642900211,45642901631,AS,62234.9704,43324.5988,18910.3716,30.385443229840437,208.1999969482422,208.1999969482422,Chenab River,Moderate (25-50%)
46175000061,46175000261,AS,452071.0336,75479.0003,376592.0333,83.30373001363651,259.3999938964844,261.3999938964844,Amu Darya,Major (50-90%)
52139800015,52139900605,OC,1132.0908,237.8,894.2908,78.99461774620904,0.0,0.0,NODATA,Major (50-90%)
52139900675,52139900655,OC,3875.3623,1778.1074,2097.2549,54.117647271327385,3.900000095367432,0.699999988079071,NODATA,Major (50-90%)
52150500355,52150500465,OC,156.15301513671875,109.2577,46.89531513671875,30.031642421800093,0.0,0.0,NODATA,Moderate (25-50%)
52175900065,52175900155,OC,6963.0719,323.7121,6639.3598,95.35101597902501,0.0,0.0,NODATA,Extreme (>90%)
53130000115,53130000265,OC,22309.0472,6128.0156,16181.031600000002,72.53125359831594,1.5,2.400000095367432,NODATA,Major (50-90%)
